BWMD_00036_1,BWMD_00337_38,BWMD_00339_42,BWMD_00323_78,BWMD_00314_114,BWMD_00313_154
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_2,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,57,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_2,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_f065f9fc-6cf9-432e-85e2-62e5df543a8d,44.56,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_f692c8e9-26bb-4449-8779-3a7220a0494f,57,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_f692c8e9-26bb-4449-8779-3a7220a0494f,44.56,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_6,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_f692c8e9-26bb-4449-8779-3a7220a0494f,57,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_6,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f692c8e9-26bb-4449-8779-3a7220a0494f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_f692c8e9-26bb-4449-8779-3a7220a0494f,44.56,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,28.5,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,25.97,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_ac1d7560-e897-4f58-8589-6746f3c4ad3f_7,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,28.5,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_ac1d7560-e897-4f58-8589-6746f3c4ad3f_7,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_f3335e28-c7b8-4d44-8fc7-b0c05ffc6ae0,25.97,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,57,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,44.56,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,57,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_4602a36d-f4a0-4213-95c6-36c54e739cd6_5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_6509cdb6-ac8c-413c-9d49-aff887b9dcf0,44.56,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_01c28a52-735c-4cc7-9b0f-4482be9436b5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_01c28a52-735c-4cc7-9b0f-4482be9436b5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_01c28a52-735c-4cc7-9b0f-4482be9436b5,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_01c28a52-735c-4cc7-9b0f-4482be9436b5,27,W
