PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
Z 90° 2h 300 °C,Z 90° 2h 300 °C,AHH6_RTzl710,90,3,mm,_Split,WAHR,20,°C,7.19496E+11,MPa ,164679607,MPa ,266639304,MPa ,1.48554E+11,%,T5,polished,2473,141,0,462,3,44,3.123E+16
Z 90° 2h 300 °C,Z 90° 2h 300 °C,AHH6_RTzl711,90,3,mm,_Split,WAHR,20,°C,7.07926E+15,MPa ,1.64959E+16,MPa ,2.67099E+16,MPa ,1.44958E+11,%,T5,polished,2473,141,0,462,3,44,3.123E+16
Z 90° 2h 300 °C,Z 90° 2h 300 °C,AHH6_RTzl712,90,3,mm,_Split,WAHR,20,°C,6.94695E+15,MPa ,165849311,MPa ,267127766,MPa ,1.49595E+16,%,T5,polished,2473,141,0,462,3,44,3.123E+16
Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_15zl713,45,9,mm,______Standard_160324_only_up,FALSCH,150,°C,7.31826E+15,MPa ,211200591,MPa ,258513668,MPa ,6.84347E+15,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_25zl714,45,9,mm,______Standard_160324_only_up,FALSCH,250,°C,5.59688E+11,MPa ,127130628,MPa ,140000572,MPa ,1.24286E+11,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° - Static_15 - Nr. 1,Statisch 45° - Static_15 - Nr. 1,AHH1_28zl715,45,9,mm,______Standard_160324_only_up,FALSCH,280,°C,4.66604E+11,MPa ,100952912,MPa ,104817477,MPa ,1.46168E+11,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl704,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.80543E+11,MPa ,235642429,MPa ,296558615,MPa ,9.83661E+15,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl705,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.19856E+15,MPa ,231755521,MPa ,297942477,MPa ,1.09721E+11,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_8 - Nr. 1,Statisch 45° nicht abdrehen - Static_8 - Nr. 1,AHH1_RTzl706,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,78865632647,MPa ,2.31573E+16,MPa ,286856264,MPa ,9.17472E+15,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl710,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.66564E+11,MPa ,266505033,MPa ,383740408,MPa ,2.1769E+16,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl711,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.5853E+15,MPa ,256972011,MPa ,3.71794E+16,MPa ,2.10005E+11,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl712,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.89674E+11,MPa ,264973081,MPa ,381972997,MPa ,2.15989E+11,%,none,raw,100,142,0,0,3,0,1145
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl710,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.64078E+11,MPa ,12169022,MPa ,2.37785E+16,MPa ,5.95831E+11,%,T5,raw,100,142,0,462,3,0,1607
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl711,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.73474E+11,MPa ,133015984,MPa ,2.4419E+16,MPa ,5.19139E+11,%,T5,raw,100,142,0,462,3,0,1607
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl712,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.57976E+11,MPa ,1.33323E+16,MPa ,246015567,MPa ,6.68076E+11,%,T5,raw,100,142,0,462,3,0,1607
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl707,45,3,mm,_Split,FALSCH,20,°C,7.4173E+15,MPa ,2.52292E+16,MPa ,369605103,MPa ,2.5785E+11,%,none,raw,100,142,0,0,3,0,1145
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl708,45,3,mm,_Split,FALSCH,20,°C,7.07271E+15,MPa ,243597096,MPa ,362980376,MPa ,2.63453E+11,%,none,raw,100,142,0,0,3,0,1145
